age,dose,count
2,1,1
8,1,1
10,1,1
11,1,1
12,1,1
14,1,2
17,1,1
18,1,55
19,1,68
20,1,105
21,1,129
22,1,170
23,1,183
24,1,158
25,1,163
26,1,182
27,1,161
28,1,174
29,1,179
30,1,165
31,1,179
32,1,207
33,1,201
34,1,228
35,1,221
36,1,186
37,1,204
38,1,191
39,1,205
40,1,212
41,1,188
42,1,202
43,1,165
44,1,161
45,1,152
46,1,136
47,1,129
48,1,136
49,1,128
50,1,120
51,1,130
52,1,122
53,1,118
54,1,132
55,1,160
56,1,170
57,1,174
58,1,165
59,1,244
60,1,12706
61,1,8040
62,1,6068
63,1,1116
64,1,525
65,1,310
66,1,289
67,1,178
68,1,94
69,1,46
70,1,35
71,1,40
72,1,29
73,1,27
74,1,20
75,1,17
76,1,12
77,1,14
78,1,7
79,1,11
80,1,8
81,1,6
82,1,6
83,1,3
84,1,2
85,1,6
86,1,4
87,1,4
88,1,3
89,1,4
90,1,1
91,1,3
92,1,2
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
121,1,1
133,1,1
17,2,1
18,2,3
19,2,12
20,2,25
21,2,26
22,2,39
23,2,52
24,2,41
25,2,46
26,2,50
27,2,45
28,2,33
29,2,44
30,2,45
31,2,59
32,2,44
33,2,54
34,2,52
35,2,40
36,2,46
37,2,49
38,2,48
39,2,54
40,2,55
41,2,51
42,2,34
43,2,42
44,2,39
45,2,45
46,2,37
47,2,263
48,2,304
49,2,295
50,2,292
51,2,279
52,2,256
53,2,236
54,2,248
55,2,225
56,2,190
57,2,182
58,2,148
59,2,134
60,2,158
61,2,158
62,2,152
63,2,139
64,2,123
65,2,180
66,2,485
67,2,1248
68,2,757
69,2,301
70,2,201
71,2,163
72,2,99
73,2,99
74,2,85
75,2,59
76,2,61
77,2,51
78,2,45
79,2,46
80,2,35
81,2,24
82,2,30
83,2,19
84,2,32
85,2,143
86,2,136
87,2,123
88,2,101
89,2,80
90,2,42
91,2,45
92,2,26
93,2,23
94,2,13
95,2,14
96,2,9
97,2,11
98,2,4
99,2,2
100,2,4
101,2,2
102,2,2
107,2,2
