paciente_idade,paciente_enumSexoBiologico,vacina_nome,data,dose,contagem
52,F,Covid-19-Coronavac-Sinovac/Butantan,2021-04-26,1,3
52,F,Covid-19-Coronavac-Sinovac/Butantan,2021-04-26,2,3
52,F,Vacina Covid-19 - Covishield,2021-04-26,1,3
52,F,Vacina Covid-19 - Covishield,2021-04-26,2,1
52,M,Covid-19-Coronavac-Sinovac/Butantan,2021-04-26,1,1
52,M,Covid-19-Coronavac-Sinovac/Butantan,2021-04-26,2,2
52,M,Vacina Covid-19 - Covishield,2021-04-26,1,2
52,M,Vacina Covid-19 - Covishield,2021-04-26,2,2
64,F,Vacina Covid-19 - Covishield,2021-04-26,1,1
68,F,Vacina Covid-19 - Covishield,2021-04-26,2,3
68,M,Vacina Covid-19 - Covishield,2021-04-26,2,3
