age,dose,count
5,1,1
8,1,1
9,1,1
10,1,1
11,1,1
16,1,1
18,1,29
19,1,28
20,1,44
21,1,69
22,1,46
23,1,54
24,1,52
25,1,47
26,1,45
27,1,53
28,1,55
29,1,52
30,1,51
31,1,52
32,1,56
33,1,76
34,1,61
35,1,79
36,1,42
37,1,73
38,1,71
39,1,63
40,1,70
41,1,55
42,1,62
43,1,65
44,1,40
45,1,80
46,1,92
47,1,88
48,1,101
49,1,79
50,1,76
51,1,74
52,1,8338
53,1,69
54,1,126
55,1,101
56,1,96
57,1,146
58,1,118
59,1,161
60,1,6829
61,1,9654
62,1,10250
63,1,4384
64,1,1431
65,1,608
66,1,519
67,1,315
68,1,182
69,1,99
70,1,76
71,1,71
72,1,51
73,1,52
74,1,31
75,1,30
76,1,25
77,1,11
78,1,21
79,1,18
80,1,22
81,1,6
82,1,8
83,1,14
84,1,8
85,1,10
86,1,6
87,1,6
88,1,4
89,1,2
90,1,2
91,1,4
92,1,4
93,1,3
94,1,2
95,1,2
96,1,1
98,1,2
101,1,1
121,1,1
4,2,1
6,2,1
16,2,1
18,2,15
19,2,20
20,2,35
21,2,44
22,2,64
23,2,71
24,2,59
25,2,69
26,2,71
27,2,72
28,2,56
29,2,81
30,2,75
31,2,101
32,2,113
33,2,100
34,2,116
35,2,111
36,2,116
37,2,109
38,2,128
39,2,135
40,2,131
41,2,118
42,2,117
43,2,124
44,2,112
45,2,114
46,2,95
47,2,304
48,2,308
49,2,302
50,2,301
51,2,289
52,2,6523
53,2,272
54,2,250
55,2,243
56,2,249
57,2,216
58,2,174
59,2,163
60,2,248
61,2,244
62,2,236
63,2,243
64,2,240
65,2,303
66,2,444
67,2,2410
68,2,1392
69,2,520
70,2,280
71,2,176
72,2,140
73,2,102
74,2,95
75,2,105
76,2,107
77,2,81
78,2,64
79,2,50
80,2,55
81,2,60
82,2,69
83,2,43
84,2,50
85,2,58
86,2,57
87,2,46
88,2,46
89,2,41
90,2,198
91,2,234
92,2,162
93,2,120
94,2,75
95,2,79
96,2,41
97,2,30
98,2,28
99,2,14
100,2,5
101,2,3
102,2,4
103,2,4
104,2,2
105,2,2
106,2,1
107,2,1
110,2,1
121,2,7
